Accident_Index,Accident_Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_District,Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70001,01-01-2021,Thursday,JC_1,T or staggered junction,Serious,51.512273,Daylight,Kensington and Chelsea,H1,-0.201349,1,2,Metropolitan Police,Dry,R1,30,15:11,Urban,W1,Car
200901BS70002,05-01-2021,Monday,JC_1,Crossroads,Slight,51.514399,Darkness - lights lit,Waltham Forest,H2,-0.199248,11,1,Metropolitan Police,Wet or damp,R2,20,10:59,Rural,W2,Taxi/Private hire car
200901BS70003,05-01-2021,Monday,JC_2,Not at junction or within 20 metres,Fetal,51.507804,Darkness - lights unlit,Macclesfield,H3,-0.20311,1,3,Metropolitan Police,Frost or ice,R2,50,08:10,Urban,W3,Motorcycle over 500cc
200901BS70004,03-02-2021,Tuesday,JC_1,Roundabout,Fatal,51.528344,,Hammersmith and Fulham,H4,-0.217295,1,4,Metropolitan Police,Snow,R2,40,13:25,Urban,W4,Van / Goods 3.5 tonnes mgw or under
200901BS70005,07-06-2021,Sunday,JC_3,Mini-roundabout,Serious,51.640054,,Westminster,H5,-0.011593,2,5,Metropolitan Police,Flood over 3cm. deep,R2,,10:50,Urban,W8,Goods over 3.5t. and under 7.5t
200901BS70006,18-03-2021,Wednesday,JC_1,More than 4 arms (not roundabout),Serious,53.35617,Daylight,Hounslow,H6,-2.084705,1,9,Metropolitan Police,,R2,30,16:30,Rural,W5,Motorcycle 125cc and under
200901BS70007,04-01-2021,Sunday,JC_1,Private drive or entrance,Slight,51.486668,Daylight,City of London,NULL,-0.179599,1,6,Metropolitan Police,Dry,R2,30,14:19,Urban,NULL,Motorcycle 50cc and under
200901BS70008,06-01-2021,Tuesday,JC_2,Slip road,Slight,51.482076,Daylight,Tower Hamlets,H1,-0.173445,1,8,Metropolitan Police,Dry,R2,30,17:25,Urban,W6,Bus or coach (17 or more pass seats)
200901BS70009,01-01-2021,Thursday,JC_1,Other junction,Slight,51.493415,Daylight,Hackney,H1,-0.185525,3,7,Metropolitan Police,Dry,R2,30,11:48,Urban,W7,Goods 7.5 tonnes mgw and over
200901BS70010,08-01-2021,Thursday,JC_1,T or staggered junction,Serious,51.480177,Daylight,Camden,H1,-0.178561,1,10,Metropolitan Police,Dry,R2,30,13:58,Urban,W1,Other vehicle
200901BS70011,02-01-2021,Friday,JC_2,T or staggered junction,Slight,51.491957,Daylight,Southwark,H1,-0.178524,1,16,Metropolitan Police,Dry,R3,30,13:18,Urban,W1,Motorcycle over 125cc and up to 500cc
200901BS70012,07-01-2021,Wednesday,JC_1,T or staggered junction,Serious,51.49646,Daylight,Brent,H1,-0.167395,2,13,Metropolitan Police,Dry,R2,30,12:15,Urban,W1,Agricultural vehicle
200901BS70015,10-01-2021,Saturday,JC_2,T or staggered junction,Slight,51.48115,Daylight,Haringey,H1,-0.183275,1,14,Metropolitan Police,Wet or damp,R2,30,09:52,Urban,W1,Minibus (8 - 16 passenger seats)
200901BS70016,07-01-2021,Wednesday,JC_2,Crossroads,Slight,51.482076,Darkness - lights lit,Islington,H1,-0.173445,1,11,Metropolitan Police,Dry,R2,30,00:09,Urban,W1,Pedal cycle
200901BS70017,16-01-2021,Friday,JC_2,T or staggered junction,Slight,51.494995,Darkness - lights lit,Barnet,H1,-0.183013,1,12,Metropolitan Police,Dry,R2,30,17:49,Urban,W1,Ridden horse
200901BS70019,12-01-2021,Monday,JC_3,T or staggered junction,Slight,51.498778,Daylight,Ealing,H1,-0.206779,1,32,Metropolitan Police,Wet or damp,R2,30,14:00,Urban,W1,Car
